t, ref_c, humidity, v_ch1, v_ch2
1689038624.7280984, 24.568, 53.171, 9.999580383e+00, 9.999696732e+00
1689038626.1464376, 24.573, 53.169, 9.999563217e+00, 9.999704361e+00
1689038627.5649452, 24.575, 53.174, 9.999589920e+00, 9.999702454e+00
1689038628.983442, 24.568, 53.166, 9.999580383e+00, 9.999704361e+00
1689038630.4019678, 24.57, 53.167, 9.999572754e+00, 9.999704361e+00
1689038631.8204534, 24.573, 53.172, 9.999585152e+00, 9.999699593e+00
1689038633.2387779, 24.565, 53.166, 9.999566078e+00, 9.999718666e+00
1689038634.6573, 24.567, 53.167, 9.999568939e+00, 9.999704361e+00
1689038636.075787, 24.568, 53.177, 9.999572754e+00, 9.999702454e+00
1689038637.494313, 24.575, 53.172, 9.999559402e+00, 9.999709129e+00
1689038638.9126577, 24.568, 53.174, 9.999568939e+00, 9.999702454e+00
1689038640.3311832, 24.565, 53.18, 9.999563217e+00, 9.999692917e+00
1689038641.74968, 24.575, 53.175, 9.999570847e+00, 9.999687195e+00
1689038643.1680284, 24.571, 53.176, 9.999568939e+00, 9.999685287e+00
1689038644.5865345, 24.564, 53.186, 9.999559402e+00, 9.999696732e+00
1689038646.0050452, 24.565, 53.187, 9.999566078e+00, 9.999692917e+00
1689038647.4235551, 24.575, 53.194, 9.999563217e+00, 9.999690056e+00
1689038648.8418858, 24.576, 53.199, 9.999580383e+00, 9.999677658e+00
1689038650.2603862, 24.565, 53.198, 9.999570847e+00, 9.999675751e+00
1689038651.678869, 24.568, 53.199, 9.999568939e+00, 9.999670982e+00
1689038653.0974107, 24.571, 53.2, 9.999575615e+00, 9.999683380e+00
1689038654.5157204, 24.581, 53.205, 9.999570847e+00, 9.999677658e+00
1689038655.934243, 24.578, 53.208, 9.999561310e+00, 9.999677658e+00
1689038657.3527768, 24.57, 53.2, 9.999570847e+00, 9.999687195e+00
1689038658.771094, 24.575, 53.206, 9.999563217e+00, 9.999687195e+00
1689038660.189601, 24.575, 53.208, 9.999578476e+00, 9.999683380e+00
1689038661.6081183, 24.576, 53.207, 9.999589920e+00, 9.999666214e+00
1689038663.0266285, 24.575, 53.213, 9.999594688e+00, 9.999670982e+00
1689038664.4449582, 24.579, 53.208, 9.999566078e+00, 9.999670982e+00
1689038665.8634627, 24.573, 53.203, 9.999556541e+00, 9.999675751e+00
1689038667.2819655, 24.576, 53.208, 9.999563217e+00, 9.999666214e+00
1689038668.7004714, 24.581, 53.213, 9.999553680e+00, 9.999680519e+00
1689038670.1188512, 24.576, 53.208, 9.999553680e+00, 9.999675751e+00
1689038671.5373187, 24.575, 53.214, 9.999544144e+00, 9.999690056e+00
1689038672.9558284, 24.571, 53.21, 9.999551773e+00, 9.999666214e+00
1689038674.3743718, 24.57, 53.211, 9.999556541e+00, 9.999668121e+00
1689038675.792658, 24.576, 53.211, 9.999561310e+00, 9.999675751e+00
1689038677.211178, 24.57, 53.218, 9.999547005e+00, 9.999694824e+00
1689038678.6297696, 24.575, 53.214, 9.999542236e+00, 9.999690056e+00
1689038680.048283, 24.578, 53.216, 9.999582291e+00, 9.999675751e+00
1689038681.4665258, 24.582, 53.216, 9.999570847e+00, 9.999685287e+00
1689038682.8850565, 24.568, 53.213, 9.999582291e+00, 9.999685287e+00
1689038684.3035824, 24.581, 53.213, 9.999580383e+00, 9.999692917e+00
1689038685.72192, 24.575, 53.214, 9.999588013e+00, 9.999687195e+00
1689038687.1404452, 24.578, 53.21, 9.999585152e+00, 9.999668121e+00
1689038688.5591605, 24.576, 53.216, 9.999594688e+00, 9.999680519e+00
1689038689.9772615, 24.576, 53.212, 9.999580383e+00, 9.999675751e+00
1689038691.3958147, 24.582, 53.222, 9.999599457e+00, 9.999690056e+00
1689038692.814268, 24.578, 53.215, 9.999597549e+00, 9.999675751e+00
1689038694.2327542, 24.579, 53.218, 9.999597549e+00, 9.999685287e+00
1689038695.65111, 24.581, 53.222, 9.999572754e+00, 9.999683380e+00
1689038697.0695941, 24.582, 53.216, 9.999568939e+00, 9.999687195e+00
1689038698.4881175, 24.581, 53.215, 9.999549866e+00, 9.999685287e+00
1689038699.9064565, 24.582, 53.215, 9.999551773e+00, 9.999687195e+00
1689038701.3249776, 24.582, 53.211, 9.999563217e+00, 9.999694824e+00
1689038702.7434807, 24.579, 53.207, 9.999553680e+00, 9.999696732e+00
1689038704.1618242, 24.585, 53.207, 9.999556541e+00, 9.999694824e+00
1689038705.5803254, 24.587, 53.205, 9.999549866e+00, 9.999675751e+00
1689038706.9988203, 24.579, 53.208, 9.999553680e+00, 9.999668121e+00
1689038708.4171667, 24.587, 53.21, 9.999553680e+00, 9.999683380e+00
1689038709.8356616, 24.585, 53.211, 9.999544144e+00, 9.999692917e+00
1689038711.2541804, 24.591, 53.206, 9.999547005e+00, 9.999690056e+00
1689038712.6726851, 24.588, 53.207, 9.999540329e+00, 9.999690056e+00
1689038714.0910215, 24.587, 53.206, 9.999542236e+00, 9.999680519e+00
1689038715.509542, 24.584, 53.199, 9.999547005e+00, 9.999692917e+00
1689038716.9281077, 24.587, 53.205, 9.999572754e+00, 9.999692917e+00
1689038718.3465464, 24.591, 53.2, 9.999559402e+00, 9.999683380e+00
1689038719.7650125, 24.593, 53.198, 9.999561310e+00, 9.999680519e+00
1689038721.1833682, 24.594, 53.205, 9.999553680e+00, 9.999683380e+00
