t, ref_c, humidity, v_ch1, v_ch2
1689079164.146786, 23.804, 54.159, 9.999585152e+00, 9.999752045e+00
1689079165.56526, 23.802, 54.157, 9.999599457e+00, 9.999756813e+00
1689079166.9836102, 23.804, 54.166, 9.999604225e+00, 9.999737740e+00
1689079168.4020972, 23.802, 54.164, 9.999620438e+00, 9.999752045e+00
1689079169.8203607, 23.801, 54.165, 9.999610901e+00, 9.999763489e+00
1689079171.2388127, 23.805, 54.169, 9.999610901e+00, 9.999753952e+00
1689079172.6573184, 23.808, 54.165, 9.999623299e+00, 9.999740601e+00
1689079174.0758326, 23.804, 54.168, 9.999620438e+00, 9.999750137e+00
1689079175.4941413, 23.804, 54.164, 9.999607086e+00, 9.999763489e+00
1689079176.9126873, 23.813, 54.165, 9.999608994e+00, 9.999752045e+00
1689079178.3311882, 23.807, 54.163, 9.999601364e+00, 9.999752045e+00
1689079179.749689, 23.813, 54.173, 9.999604225e+00, 9.999747276e+00
1689079181.16801, 23.812, 54.165, 9.999620438e+00, 9.999747276e+00
1689079182.5864987, 23.808, 54.172, 9.999613762e+00, 9.999744415e+00
1689079184.0050678, 23.805, 54.17, 9.999608994e+00, 9.999750137e+00
1689079185.423528, 23.813, 54.168, 9.999607086e+00, 9.999742508e+00
1689079186.8418622, 23.815, 54.169, 9.999613762e+00, 9.999740601e+00
1689079188.2603707, 23.816, 54.165, 9.999623299e+00, 9.999752045e+00
1689079189.6788719, 23.818, 54.168, 9.999616623e+00, 9.999740601e+00
1689079191.097405, 23.822, 54.168, 9.999613762e+00, 9.999732971e+00
1689079192.5157278, 23.816, 54.171, 9.999628067e+00, 9.999740601e+00
1689079193.9342062, 23.818, 54.164, 9.999613762e+00, 9.999734879e+00
1689079195.3527102, 23.819, 54.165, 9.999618530e+00, 9.999747276e+00
1689079196.7713106, 23.819, 54.169, 9.999616623e+00, 9.999740601e+00
1689079198.1896656, 23.819, 54.168, 9.999610901e+00, 9.999737740e+00
1689079199.6080632, 23.824, 54.169, 9.999601364e+00, 9.999737740e+00
1689079201.0265899, 23.822, 54.162, 9.999601364e+00, 9.999723434e+00
1689079202.4451284, 23.824, 54.171, 9.999613762e+00, 9.999742508e+00
1689079203.863433, 23.822, 54.162, 9.999616623e+00, 9.999737740e+00
1689079205.2819378, 23.824, 54.161, 9.999616623e+00, 9.999747276e+00
1689079206.700421, 23.824, 54.169, 9.999620438e+00, 9.999753952e+00
1689079208.1189406, 23.821, 54.169, 9.999597549e+00, 9.999753952e+00
1689079209.5372918, 23.816, 54.168, 9.999613762e+00, 9.999747276e+00
1689079210.9558074, 23.825, 54.16, 9.999597549e+00, 9.999740601e+00
1689079212.374276, 23.828, 54.168, 9.999588013e+00, 9.999752045e+00
1689079213.7927961, 23.827, 54.168, 9.999582291e+00, 9.999744415e+00
1689079215.211131, 23.824, 54.172, 9.999607086e+00, 9.999747276e+00
1689079216.6296911, 23.828, 54.166, 9.999594688e+00, 9.999753952e+00
1689079218.0481145, 23.833, 54.174, 9.999589920e+00, 9.999761581e+00
1689079219.4666595, 23.83, 54.169, 9.999594688e+00, 9.999742508e+00
1689079220.8849862, 23.827, 54.168, 9.999601364e+00, 9.999747276e+00
1689079222.303477, 23.828, 54.178, 9.999608994e+00, 9.999773026e+00
1689079223.7220218, 23.831, 54.176, 9.999599457e+00, 9.999752045e+00
1689079225.1403058, 23.825, 54.183, 9.999599457e+00, 9.999753952e+00
1689079226.5588887, 23.827, 54.175, 9.999597549e+00, 9.999737740e+00
1689079227.977337, 23.83, 54.175, 9.999607086e+00, 9.999734879e+00
1689079229.3958879, 23.828, 54.17, 9.999610901e+00, 9.999740601e+00
1689079230.8141835, 23.827, 54.176, 9.999608994e+00, 9.999725342e+00
1689079232.2326605, 23.831, 54.176, 9.999601364e+00, 9.999744415e+00
1689079233.6511893, 23.83, 54.178, 9.999591827e+00, 9.999750137e+00
1689079235.0696697, 23.828, 54.177, 9.999604225e+00, 9.999740601e+00
1689079236.488199, 23.831, 54.178, 9.999626160e+00, 9.999723434e+00
1689079237.9065404, 23.828, 54.185, 9.999618530e+00, 9.999737740e+00
1689079239.325041, 23.83, 54.187, 9.999607086e+00, 9.999732971e+00
1689079240.7435381, 23.824, 54.189, 9.999599457e+00, 9.999750137e+00
1689079242.1620543, 23.827, 54.185, 9.999604225e+00, 9.999747276e+00
1689079243.5804, 23.833, 54.186, 9.999601364e+00, 9.999725342e+00
1689079244.9988816, 23.83, 54.194, 9.999604225e+00, 9.999761581e+00
1689079246.41748, 23.836, 54.195, 9.999607086e+00, 9.999761581e+00
1689079247.835914, 23.831, 54.193, 9.999597549e+00, 9.999773026e+00
1689079249.254236, 23.833, 54.188, 9.999601364e+00, 9.999775887e+00
1689079250.672735, 23.833, 54.187, 9.999610901e+00, 9.999773026e+00
1689079252.0914986, 23.825, 54.197, 9.999604225e+00, 9.999775887e+00
1689079253.509756, 23.835, 54.193, 9.999626160e+00, 9.999775887e+00
1689079254.9280765, 23.83, 54.195, 9.999616623e+00, 9.999771118e+00
1689079256.3466635, 23.831, 54.204, 9.999607086e+00, 9.999771118e+00
1689079257.7650924, 23.83, 54.196, 9.999599457e+00, 9.999763489e+00
1689079259.1835756, 23.836, 54.197, 9.999594688e+00, 9.999759674e+00
1689079260.6018977, 23.841, 54.198, 9.999588013e+00, 9.999732971e+00
1689079262.0204117, 23.838, 54.2, 9.999591827e+00, 9.999731064e+00
1689079263.4389956, 23.838, 54.209, 9.999582291e+00, 9.999740601e+00
1689079264.8574338, 23.839, 54.2, 9.999578476e+00, 9.999732971e+00
1689079266.2759533, 23.841, 54.197, 9.999585152e+00, 9.999721527e+00
1689079267.6943426, 23.845, 54.206, 9.999604225e+00, 9.999732971e+00
1689079269.1127832, 23.842, 54.201, 9.999580383e+00, 9.999732971e+00
1689079270.531136, 23.838, 54.202, 9.999585152e+00, 9.999750137e+00
1689079271.9496772, 23.844, 54.2, 9.999585152e+00, 9.999744415e+00
1689079273.3681417, 23.844, 54.194, 9.999601364e+00, 9.999740601e+00
1689079274.7864652, 23.842, 54.196, 9.999585152e+00, 9.999744415e+00
