t, ref_c, humidity, v
1689103306.1745095, 24.421, 53.625, 1.000046158e+01
1689103307.5928676, 24.421, 53.626, 1.000047684e+01
1689103309.0117352, 24.427, 53.626, 1.000068665e+01
1689103310.4299147, 24.431, 53.63, 1.000040913e+01
1689103311.8483386, 24.431, 53.63, 1.000050068e+01
1689103313.2669177, 24.434, 53.63, 1.000049114e+01
1689103314.6853313, 24.431, 53.632, 1.000057888e+01
1689103316.1035714, 24.438, 53.63, 1.000033092e+01
1689103317.522108, 24.441, 53.629, 1.000031376e+01
1689103318.9406083, 24.441, 53.624, 1.000032902e+01
1689103320.3591986, 24.449, 53.618, 1.000006390e+01
1689103321.7774587, 24.444, 53.614, 1.000027847e+01
1689103323.1961818, 24.452, 53.601, 1.000014782e+01
1689103324.6145608, 24.46, 53.61, 1.000004101e+01
1689103326.032831, 24.457, 53.601, 1.000003815e+01
1689103327.451273, 24.455, 53.599, 1.000029087e+01
1689103328.8698235, 24.458, 53.586, 1.000011349e+01
1689103330.2884173, 24.464, 53.592, 1.000008678e+01
1689103331.7067716, 24.463, 53.584, 1.000023746e+01
1689103333.1251907, 24.461, 53.58, 1.000018692e+01
1689103334.5434716, 24.469, 53.586, 1.000013924e+01
1689103335.9619882, 24.466, 53.582, 1.000033760e+01
1689103337.3804843, 24.473, 53.575, 1.000047493e+01
1689103338.7988384, 24.472, 53.576, 1.000039387e+01
1689103340.2173698, 24.473, 53.579, 1.000041389e+01
1689103341.6358628, 24.47, 53.569, 1.000053787e+01
1689103343.0546057, 24.481, 53.564, 1.000054836e+01
1689103344.4726992, 24.483, 53.565, 1.000066662e+01
1689103345.8912053, 24.484, 53.558, 1.000066757e+01
1689103347.3098137, 24.495, 53.556, 1.000065231e+01
1689103348.728266, 24.489, 53.552, 1.000065899e+01
1689103350.1465497, 24.498, 53.553, 1.000065136e+01
1689103351.5650697, 24.504, 53.543, 1.000077629e+01
1689103352.9837043, 24.503, 53.542, 1.000064754e+01
1689103354.402112, 24.506, 53.538, 1.000075531e+01
1689103355.8206127, 24.515, 53.538, 1.000061131e+01
1689103357.2389693, 24.513, 53.535, 1.000070381e+01
1689103358.6574519, 24.516, 53.52, 1.000057888e+01
1689103360.075777, 24.524, 53.526, 1.000042439e+01
1689103361.4942641, 24.519, 53.515, 1.000047302e+01
1689103362.9128578, 24.522, 53.517, 1.000037384e+01
1689103364.3311217, 24.522, 53.507, 1.000048161e+01
1689103365.749624, 24.524, 53.507, 1.000045300e+01
1689103367.1682441, 24.53, 53.497, 1.000024128e+01
1689103368.5866222, 24.524, 53.495, 1.000034237e+01
1689103370.0049675, 24.541, 53.492, 1.000011921e+01
1689103371.4234924, 24.539, 53.489, 1.000023365e+01
1689103372.841981, 24.542, 53.477, 1.000023460e+01
1689103374.2603877, 24.553, 53.471, 1.000011539e+01
1689103375.6788323, 24.553, 53.466, 1.000023365e+01
1689103377.097324, 24.547, 53.464, 1.000024033e+01
1689103378.5158656, 24.555, 53.454, 1.000037003e+01
1689103379.9341915, 24.561, 53.445, 1.000026417e+01
1689103381.3527684, 24.564, 53.44, 1.000029850e+01
1689103382.7712166, 24.567, 53.431, 1.000037575e+01
1689103384.1896195, 24.562, 53.426, 1.000052452e+01
1689103385.6080258, 24.567, 53.422, 1.000036812e+01
1689103387.0265326, 24.576, 53.416, 1.000056839e+01
1689103388.4451616, 24.579, 53.414, 1.000036526e+01
1689103389.8633807, 24.575, 53.406, 1.000051880e+01
1689103391.2819307, 24.582, 53.405, 1.000039959e+01
1689103392.7006965, 24.585, 53.397, 1.000046635e+01
1689103394.1187308, 24.59, 53.394, 1.000046730e+01
1689103395.5376408, 24.585, 53.392, 1.000062943e+01
1689103396.955764, 24.593, 53.388, 1.000054073e+01
1689103398.3740962, 24.594, 53.381, 1.000049019e+01
1689103399.7926369, 24.591, 53.373, 1.000053024e+01
1689103401.2112362, 24.601, 53.361, 1.000066090e+01
1689103402.629436, 24.604, 53.365, 1.000064373e+01
1689103404.0479126, 24.602, 53.359, 1.000044346e+01
1689103405.4664366, 24.607, 53.357, 1.000047398e+01
1689103406.8848355, 24.611, 53.35, 1.000044537e+01
1689103408.3032987, 24.619, 53.348, 1.000044346e+01
1689103409.7218072, 24.621, 53.344, 1.000041580e+01
1689103411.140309, 24.622, 53.336, 1.000038815e+01
1689103412.5586324, 24.617, 53.332, 1.000047874e+01
1689103413.9771676, 24.628, 53.313, 1.000002766e+01
1689103415.395645, 24.624, 53.304, 9.999583244e+00
1689103416.8139815, 24.631, 53.299, 9.999681473e+00
1689103418.2325287, 24.634, 53.302, 9.999794006e+00
1689103419.6510231, 24.628, 53.29, 9.999668121e+00
1689103421.0696611, 24.628, 53.278, 9.999691010e+00
1689103422.4879396, 24.636, 53.274, 9.999681473e+00
1689103423.9063923, 24.631, 53.273, 9.999582291e+00
1689103425.3249884, 24.639, 53.264, 9.999800682e+00
1689103426.7432187, 24.645, 53.263, 9.999592781e+00
1689103428.1617868, 24.631, 53.253, 9.999679565e+00
1689103429.580447, 24.647, 53.251, 9.999764442e+00
1689103430.9986842, 24.651, 53.243, 9.999900818e+00
1689103432.4171207, 24.656, 53.242, 9.999872208e+00
1689103433.835709, 24.65, 53.231, 9.999831200e+00
1689103435.253933, 24.648, 53.234, 9.999964714e+00
1689103436.6724727, 24.662, 53.224, 9.999888420e+00
1689103438.0909472, 24.66, 53.223, 1.000037193e+01
1689103439.5094485, 24.659, 53.218, 1.000027370e+01
1689103440.9277968, 24.668, 53.212, 1.000038433e+01
1689103442.346327, 24.663, 53.212, 1.000036716e+01
1689103443.764808, 24.67, 53.212, 1.000049305e+01
1689103445.183129, 24.68, 53.211, 1.000053883e+01
1689103446.6016393, 24.665, 53.21, 1.000028038e+01
1689103448.020211, 24.679, 53.208, 1.000040627e+01
1689103449.438498, 24.677, 53.2, 1.000051594e+01
1689103450.856972, 24.677, 53.19, 1.000029182e+01
